node_index,node_id,true_role,pred_role,prob_periphery,prob_bridge,prob_central
44,139,0,0,0.8682032,0.13177943,1.734063e-05
45,14,1,1,0.025035365,0.9748386,0.00012603478
46,140,2,2,7.813472e-07,0.10290713,0.8970921
47,141,1,0,0.81787854,0.18200018,0.00012129169
48,142,1,2,0.010309204,0.41045853,0.57923234
49,143,0,0,0.99963224,0.00036777058,2.4783187e-10
50,144,2,2,0.010309204,0.41045853,0.57923234
51,145,0,0,0.9999943,5.662749e-06,5.566234e-15
52,146,2,1,0.018111393,0.5119576,0.46993098
53,147,2,2,8.0158225e-06,0.31730977,0.6826822
54,148,2,2,0.010309204,0.41045853,0.57923234
55,149,2,2,0.016018098,0.48918188,0.49480003
56,15,1,1,0.3809572,0.61150724,0.00753565
57,150,2,2,0.010309204,0.41045853,0.57923234
58,151,1,1,0.19651699,0.7480873,0.05539576
59,152,0,0,0.99999976,2.8910225e-07,2.2052695e-18
60,153,2,2,4.2792195e-05,0.046402276,0.953555
61,154,0,0,0.997343,0.0026569963,1.0528816e-08
62,155,1,1,0.004443184,0.9955455,1.1257724e-05
63,156,1,2,0.010309204,0.41045853,0.57923234
64,157,2,2,3.3335354e-08,0.0019315135,0.9980685
65,158,2,2,4.290828e-15,3.2793927e-05,0.9999672
66,159,0,0,0.6972767,0.3012713,0.0014519589
67,16,2,2,1.3068299e-08,0.0024691797,0.9975309
68,160,0,0,0.9999989,1.0880411e-06,1.0984379e-17
69,161,2,2,0.010309204,0.41045853,0.57923234
70,162,0,0,0.98650545,0.0134942215,3.9699123e-07
71,163,1,1,0.00417116,0.7969729,0.198856
72,164,1,1,0.052695774,0.73031265,0.21699156
73,165,0,0,0.99999475,5.2568244e-06,1.8098587e-15
74,166,2,2,4.7031474e-08,0.00723763,0.99276227
75,167,2,2,0.010309204,0.41045853,0.57923234
76,168,0,0,0.99093634,0.009063715,2.1493669e-08
77,169,1,1,0.12716131,0.8727575,8.1231396e-05
78,17,1,2,2.0590003e-09,0.009251431,0.9907486
79,170,2,2,5.1113384e-06,0.08424359,0.91575134
80,171,2,2,5.7821465e-12,0.00032291457,0.99967706
81,172,2,2,0.010309204,0.41045853,0.57923234
82,173,2,2,6.291065e-08,0.00872952,0.9912704
83,174,2,1,0.039953057,0.7266016,0.23344529
84,175,0,1,0.27842373,0.7165474,0.0050288346
85,176,1,1,0.40039048,0.5993003,0.00030918268
86,177,2,2,5.789316e-14,3.6438763e-05,0.9999635
87,178,0,0,0.84643096,0.15332107,0.00024806272
88,179,2,2,2.855826e-07,0.0050437446,0.99495596
89,18,2,2,0.010309204,0.41045853,0.57923234
90,180,1,1,0.07219126,0.73857063,0.18923806
91,181,1,2,0.010309204,0.41045853,0.57923234
92,182,1,2,0.010309204,0.41045853,0.57923234
93,183,1,1,0.15248597,0.7669415,0.080572605
94,184,2,2,1.6200804e-17,2.3676068e-06,0.9999976
95,185,2,2,0.010309204,0.41045853,0.57923234
96,186,2,2,0.010309204,0.41045853,0.57923234
97,187,0,0,0.5588379,0.43995234,0.0012097686
98,188,1,2,0.010309204,0.41045853,0.57923234
99,189,0,0,0.99707365,0.0029263757,1.8802767e-08
100,19,1,2,0.010309204,0.41045853,0.57923234
101,190,1,1,0.057177465,0.7914007,0.15142184
102,191,1,2,0.010309204,0.41045853,0.57923234
103,192,2,2,7.060632e-06,0.093737535,0.90625536
104,193,1,1,0.11858252,0.80006945,0.08134809
105,194,1,1,0.0076538487,0.9005233,0.0918228
106,195,0,0,0.6803122,0.3190486,0.0006391798
107,196,0,0,0.9644629,0.03553554,1.6647409e-06
108,197,1,2,0.010309204,0.41045853,0.57923234
109,198,2,2,3.21233e-11,0.002578918,0.99742115
110,199,2,2,8.999471e-10,0.001215579,0.9987845
111,2,2,1,0.0066185948,0.65535593,0.33802548
112,20,1,2,0.010309204,0.41045853,0.57923234
113,200,2,2,1.4730924e-09,0.0013540133,0.99864596
114,201,1,1,0.14825031,0.79081285,0.060936943
115,202,0,0,0.96063393,0.039363887,2.1574308e-06
116,203,1,1,0.2323303,0.75342774,0.014241981
117,204,1,1,0.21583717,0.74459064,0.03957217
118,205,2,2,0.009222956,0.4877589,0.5030182
119,206,0,0,0.9999968,3.184961e-06,1.4954909e-16
120,207,2,2,2.1588196e-09,0.00056764454,0.9994324
121,208,2,2,0.010309204,0.41045853,0.57923234
122,209,1,1,0.03533004,0.63479704,0.3298729
123,21,0,0,0.999997,2.9532673e-06,4.674625e-16
124,210,2,2,0.009674024,0.45635146,0.5339746
125,211,2,2,0.010309204,0.41045853,0.57923234
126,212,0,0,0.9992723,0.00072775007,1.6901798e-10
127,213,0,0,0.7918622,0.20760347,0.0005343304
128,214,1,1,0.046287257,0.9227741,0.030938646
129,215,0,0,0.9978161,0.002183857,3.415258e-09
130,216,0,0,0.99998176,1.8262393e-05,3.2143289e-15
131,217,1,1,0.03573593,0.9566887,0.007575381
132,218,1,1,0.014360757,0.9232613,0.06237786
133,219,0,0,0.9850758,0.014923923,1.8824807e-07
134,22,0,0,0.9998485,0.00015151998,6.8754316e-12
135,220,1,1,0.03907436,0.9369415,0.02398408
136,221,2,2,1.9176182e-12,8.654601e-05,0.99991345
137,222,2,1,0.028888019,0.5987912,0.37232083
138,223,2,2,2.8200764e-05,0.12246532,0.87750643
139,224,2,2,2.8032e-07,0.0050020413,0.99499774
140,225,1,1,0.10205126,0.7652179,0.13273089
141,226,0,0,0.99488395,0.0051159807,1.6271004e-10
142,227,1,1,0.15011595,0.7675612,0.082322836
143,228,0,0,0.99945456,0.00054549606,1.3789916e-10
144,229,0,0,0.9451599,0.0548189,2.1227384e-05
145,23,2,2,0.010309204,0.41045853,0.57923234
146,230,0,0,0.99999976,2.7891684e-07,4.6754176e-18
147,231,2,2,0.010309204,0.41045853,0.57923234
148,232,1,2,0.010309204,0.41045853,0.57923234
149,233,0,0,0.99730635,0.0026936452,2.256427e-09
150,234,2,2,0.010309204,0.41045853,0.57923234
151,235,0,2,0.009914807,0.4392034,0.55088174
152,236,1,1,0.0018271925,0.8490941,0.14907865
153,237,0,0,0.9040117,0.095914274,7.390723e-05
154,238,0,0,0.99668044,0.0033195855,1.9637413e-08
155,239,0,0,0.9999497,5.0325812e-05,3.5830724e-13
156,24,1,1,0.11764597,0.8084587,0.07389535
157,240,1,1,0.15589236,0.76596445,0.07814323
158,241,0,0,0.6666348,0.33194113,0.0014240223
159,242,0,0,0.98134804,0.018651683,3.2882386e-07
160,25,2,2,1.5885766e-07,0.020877974,0.97912186
161,26,0,2,0.010309204,0.41045853,0.57923234
162,27,1,1,0.08940644,0.75744724,0.15314628
163,28,1,1,0.1749272,0.77500516,0.05006763
164,29,1,1,0.0003426049,0.9629219,0.03673544
165,3,2,2,1.658975e-12,0.00013208731,0.9998679
166,30,1,2,0.010309204,0.41045853,0.57923234
167,31,2,2,0.010309204,0.41045853,0.57923234
168,32,1,2,5.3556388e-08,0.01006172,0.98993826
169,33,2,2,2.4532744e-06,0.013150043,0.98684746
170,34,1,1,0.05992886,0.7564782,0.18359289
171,35,2,1,0.021971641,0.56319135,0.41483697
172,36,1,2,0.010309204,0.41045853,0.57923234
173,37,1,2,0.010309204,0.41045853,0.57923234
174,38,0,0,0.944974,0.055023156,2.785005e-06
175,39,1,1,1.1516815e-05,0.99861217,0.0013762563
176,4,1,1,0.04095691,0.68774563,0.27129743
177,40,1,2,0.010309204,0.41045853,0.57923234
178,41,1,1,0.002329585,0.8944386,0.103231855
179,42,1,2,0.010309204,0.41045853,0.57923234
180,43,1,1,0.00788796,0.9845969,0.0075151823
181,44,0,0,0.7621853,0.23765105,0.00016370686
182,45,2,2,2.4908626e-16,1.3786869e-05,0.9999862
183,46,2,2,1.8226584e-07,0.024230093,0.9757697
184,47,1,1,0.04531971,0.6763119,0.27836832
185,48,2,2,0.010309204,0.41045853,0.57923234
186,49,1,1,0.4043189,0.58292544,0.012755667
187,5,1,1,0.14237526,0.82699525,0.030629583
188,50,2,2,3.1851089e-06,0.0736454,0.9263514
189,51,0,2,0.010309204,0.41045853,0.57923234
190,52,1,1,0.10857074,0.76772016,0.12370914
191,53,0,0,0.99990916,9.0819536e-05,1.8934695e-12
192,54,2,2,7.9237383e-19,1.1211358e-06,0.9999989
193,55,2,2,1.2333412e-07,0.10860261,0.89139724
194,56,1,1,0.006225527,0.70539623,0.28837824
195,57,1,1,0.0018173499,0.919948,0.07823462
196,58,1,1,0.19130349,0.75090986,0.057786625
197,59,2,2,0.010309204,0.41045853,0.57923234
198,6,0,0,0.5704605,0.4278253,0.00171419
199,60,1,1,0.2988432,0.67518705,0.025969792
200,61,2,2,0.010309204,0.41045853,0.57923234
201,62,1,1,0.003462895,0.8354309,0.16110614
202,63,2,2,0.010309204,0.41045853,0.57923234
203,64,1,2,0.010309204,0.41045853,0.57923234
204,65,2,2,4.152328e-09,0.0007606841,0.9992393
205,66,1,1,0.0013161709,0.9440554,0.054628406
206,67,1,1,0.09533827,0.83696574,0.067695975
207,68,1,1,0.0015613536,0.72001815,0.2784205
208,69,1,1,0.0007183783,0.9713807,0.027900873
209,7,0,0,0.9946944,0.005305654,1.4329825e-08
210,70,1,1,0.0053991564,0.7276152,0.26698565
211,71,1,1,0.102665015,0.7967647,0.100570254
212,72,1,1,0.002601926,0.8805637,0.116834424
213,73,2,2,0.010309204,0.41045853,0.57923234
214,74,0,0,0.99808705,0.0019130191,2.673051e-09
215,75,1,1,0.21822622,0.7461101,0.03566371
216,76,2,2,4.2519604e-13,1.2453338e-05,0.9999876
217,77,0,0,0.99997973,2.0224035e-05,1.4864982e-13
218,78,1,2,0.010309204,0.41045853,0.57923234
219,79,1,2,0.010309204,0.41045853,0.57923234
220,8,2,2,0.010309204,0.41045853,0.57923234
221,80,2,2,5.1406837e-11,0.001429486,0.99857044
222,81,1,2,0.010309204,0.41045853,0.57923234
223,82,1,2,0.010309204,0.41045853,0.57923234
224,83,1,1,0.031661425,0.615389,0.3529496
225,84,2,2,1.4623973e-15,7.906564e-06,0.99999213
226,85,1,1,0.14697506,0.79427016,0.058754753
227,86,2,2,9.579455e-07,0.008653352,0.99134576
228,87,2,2,0.0006862332,0.15068652,0.8486272
229,88,0,0,0.99979895,0.00020107739,3.5265345e-12
230,89,2,2,0.010309204,0.41045853,0.57923234
231,9,2,2,0.010309204,0.41045853,0.57923234
232,90,0,0,0.94631124,0.053668566,2.0204965e-05
233,91,1,2,0.010309204,0.41045853,0.57923234
234,92,1,2,0.010309204,0.41045853,0.57923234
235,93,0,0,0.99913776,0.00086222315,4.8227962e-12
236,94,1,0,0.606339,0.3923964,0.0012646826
237,95,2,2,1.3883296e-07,0.024909087,0.97509074
238,96,0,0,0.9869098,0.013089357,7.949221e-07
239,97,1,1,0.12650889,0.7705435,0.102947645
240,98,1,1,0.0064443303,0.66589695,0.32765874
241,99,1,1,0.010947032,0.66440654,0.3246465
